Skate,Image,Length,Difficulty,Elevation,Start title,Start url
City Park,../../assets/routemapimages/CityPark.png,7,Blue,90,SW corner of Denver Museum of Nature and Science,https://goo.gl/maps/1qKccJXAj2AkcUDR9
Denver Downtown,../../assets/routemapimages/DenverDowntown.png,8,Black ,180,Civic Center Park,https://goo.gl/maps/Wvd2p7gUUE3dwSyR7
Arvada Easy,../../assets/routemapimages/ArvadaEasy.png,7,Blue,111,Arvada Memorial Skate Park,https://goo.gl/maps/L4VmRazTidLH9gWp9
Belmabrook,../../assets/routemapimages/Belmabrook.png,5,Blue,153,Heritage Lakewood Building,https://goo.gl/maps/3cXb5b693HxTJdPk9
Crown Hill,../../assets/routemapimages/CrownHill.png,1 or 7,Green-Blue,40 or 170,Crown Hill main parking lot,https://goo.gl/maps/tWRe872AJfeRjqX17
Berkley,../../assets/routemapimages/Berkley.png,6,Blue,151,Elitch Carousel,https://goo.gl/maps/TcLGXf1sreCSfTtB8
Boulder,../../assets/routemapimages/Boulder.png,9,Blue,163,Valmont Skate Park,https://goo.gl/maps/eg35HiPMHLCy9E7o9
Central Park,../../assets/routemapimages/CentralPark.png,8,Blue,156,Pavilion at Central Park,https://goo.gl/maps/54qgNR8kUiHvVQ67A
Cherry Creek,../../assets/routemapimages/CherryCreek.png,9,Black,193,The Pavilion at Cheeseman Park,https://goo.gl/maps/re1sVufuwRK46s7j6
Golden,../../assets/routemapimages/Golden.png,6,Blue,194,Parfet Park,https://goo.gl/maps/7hNycdiaiMdKnYCD8
Lakewood Gulch,../../assets/routemapimages/LakewoodGulch.png,10,Blue,356,Denver Skate Park,https://goo.gl/maps/RBH3rkQNswPRLXbD7
RiNo,../../assets/routemapimages/RiNo.png,7,Black,126,Out front of Ratio Beerworks,https://goo.gl/maps/x5Fe3Rz4efgmc5Cx6
Wash Park,../../assets/routemapimages/WashPark.png,2,Green,42,Wash Park Basketball Courts,https://goo.gl/maps/qi9thDCAnn9W22yb6
Sloans Lake,../../assets/routemapimages/SloansLake.png,5,Green-Blue,40,Sloan's Lake Boat House,https://goo.gl/maps/DAKHAQpKsjEmvKYq5
